City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
301,Kahului,US,84.22,scattered clouds,20.89,-156.47,Maui Seaside Hotel
303,Maracaibo,VE,79.11,overcast clouds,10.63,-71.64,Motel Aladdin
304,Sabancuy,MX,80.47,clear sky,18.97,-91.18,Hotel Aguilar
316,Nanzhang,CN,88.63,clear sky,31.78,111.84,Longmenkezhan
317,Lorengau,PG,84.34,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
320,Marsa Matruh,EG,77.2,scattered clouds,31.35,27.25,Beau Site
322,Starkville,US,83.64,scattered clouds,33.45,-88.82,Hilton Garden Inn Starkville
324,Road Town,VG,81.19,broken clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
327,Mangan,IN,80.49,overcast clouds,27.52,88.53,Hotel Mout View
328,Gazanjyk,TM,83.16,clear sky,39.24,55.52,Railway motel
331,Lom Sak,TH,78.69,scattered clouds,16.78,101.24,บ้านวรฉัตร หล่มสัก
334,Hambantota,LK,79.14,overcast clouds,6.12,81.12,Bungalow 63
337,San Policarpo,PH,89.55,overcast clouds,12.18,125.51,JM Lodge
341,Wana,PK,84.61,overcast clouds,32.3,69.57,Rest House at Wana Camp
343,Csorna,HU,75.29,few clouds,47.61,17.25,Nimród Apartman
344,Rosetta,EG,76.82,clear sky,31.4,30.42,Green Valley
347,Pachino,IT,81.59,clear sky,36.72,15.09,Pietra Bianca B&B
349,Cardston,CA,88.41,overcast clouds,49.2,-113.3,Flamingo Motel
356,Estelle,US,89.6,broken clouds,29.85,-90.11,Comfort Inn Marrero - New Orleans West
359,Portland,US,89.62,scattered clouds,45.52,-122.68,The Bidwell Marriott Portland
365,Gushikawa,JP,85.23,broken clouds,26.35,127.87,Kirari Guest House
366,Trogir,HR,80.58,clear sky,43.51,16.25,Hotel Medena
367,Nhulunbuy,AU,83.01,scattered clouds,-12.23,136.77,East Arnhem Real Estate
370,Siocon,PH,86.38,overcast clouds,7.71,122.14,MSWDO
377,Chazuta,PE,77.85,clear sky,-6.57,-76.14,Fundo El Porvenir
378,Miri,MY,86.14,few clouds,4.41,114.01,"Mega Hotel, Miri"
379,Kipini,KE,75.49,overcast clouds,-2.53,40.53,Tana River Lodge
385,Tazmalt,DZ,79.39,overcast clouds,36.39,4.4,Hôtel Numédia
387,Gary,US,88.0,clear sky,41.59,-87.35,Budget Motel
388,Gua Musang,MY,83.77,overcast clouds,4.88,101.96,Mines Inn Hotel
390,Cukai,MY,80.74,light rain,4.25,103.42,OYO 90038 Dalyla Inn Chalet
396,Boysun,UZ,83.98,clear sky,38.21,67.2,Gaza Hotel
400,Covington,US,79.48,clear sky,39.08,-84.51,Cincinnati Marriott at RiverCenter
403,Sauk Rapids,US,84.65,clear sky,45.59,-94.17,Best Western Plus Kelly Inn
406,Morant Bay,JM,83.82,overcast clouds,17.88,-76.41,Whispering Bamboo Cove Resort
408,Awbari,LY,81.46,clear sky,26.59,12.78,فندق أوباري
409,Bandiagara,ML,79.41,overcast clouds,14.35,-3.61,Hotel de la Falaise
410,Alibag,IN,82.47,overcast clouds,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
413,Zhoucheng,CN,80.4,overcast clouds,35.91,116.31,Yingbin Restaurant
414,Botou,CN,88.23,clear sky,38.07,116.57,Hanting Hotel Huanghua City Hall
425,Point Fortin,TT,80.15,broken clouds,10.18,-61.68,Apartment Point Fortin
429,Ravar,IR,81.7,clear sky,31.27,56.81,کافی نت و کامپیوترپرشین سیستم
432,Porto Walter,BR,75.45,clear sky,-8.27,-72.74,Hotel Silva
438,Pakisaji,ID,81.82,broken clouds,-8.07,112.6,Pondok Pesantren Al-Nur 3 Murah Banyu
440,Crotone,IT,78.93,clear sky,39.09,17.12,Helios Hotel
447,Westport,US,81.18,clear sky,41.14,-73.36,The Westport Inn
450,Koutsouras,GR,77.2,clear sky,35.03,25.95,The White Houses
453,Katsuura,JP,78.15,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
454,Champerico,GT,84.34,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
458,Sigli,ID,83.57,overcast clouds,5.38,95.96,Riza Losmen
460,Wani,IN,78.13,overcast clouds,20.07,78.95,Ashok Hotel
464,Dogondoutchi,NE,81.86,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
465,Conway,US,87.78,clear sky,35.09,-92.44,"Country Inn & Suites by Radisson, Conway, AR"
471,Ewa Beach,US,87.75,few clouds,21.32,-158.01,Uncle Junior Robert
480,Atar,MR,89.64,clear sky,20.52,-13.05,Oumou Elghoura
