City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Adelaide,AU,-34.93,138.60,67.21,40,0,5.01,clear sky
114,De-Kastri,RU,51.47,140.78,71.65,87,100,4.74,overcast clouds
115,Kavaratti,IN,10.57,72.64,81.07,80,100,19.86,overcast clouds
116,Kavieng,PG,-2.57,150.80,84.94,64,57,4.47,broken clouds
117,Concarneau,FR,47.88,-3.92,65.05,95,100,7.23,overcast clouds
118,Georgetown,MY,5.41,100.34,85.95,79,20,1.99,haze
119,Vardo,NO,70.37,31.11,47.23,86,29,2.98,scattered clouds
120,Igarka,RU,67.47,86.58,76.71,56,98,15.05,overcast clouds
121,Rogaska Slatina,SI,46.24,15.64,69.19,88,85,3.04,overcast clouds
122,Longyearbyen,SJ,78.22,15.64,43.39,86,100,0.94,overcast clouds
123,Port Elizabeth,ZA,-33.92,25.57,70.11,29,0,10.36,clear sky
124,Ahipara,NZ,-35.17,173.17,58.28,66,2,16.82,clear sky
125,Sainte-Marie,RE,-20.90,55.55,64.56,88,90,3.44,light rain
126,Touros,BR,-5.20,-35.46,74.3,88,8,8.97,clear sky
127,Bengkulu,ID,-3.80,102.27,81.3,61,18,2.19,few clouds
128,Mahebourg,MU,-20.41,57.70,68.29,88,75,12.66,light rain
129,Omaruru,NA,-21.43,15.93,50.43,39,0,8.84,clear sky
130,Vila Velha,BR,-20.33,-40.29,69.75,88,40,3.44,scattered clouds
131,Tahe,CN,52.33,124.73,75.88,60,97,4.56,overcast clouds
132,Kalmunai,LK,7.42,81.82,83.39,63,99,1.57,overcast clouds
133,Saint-Philippe,RE,-21.36,55.77,63.99,84,75,10.18,light rain
134,Cayenne,GF,4.93,-52.33,82.09,82,0,3,clear sky
135,Boali,CF,4.80,18.13,71.47,96,100,1.92,light rain
136,Clyde River,CA,70.47,-68.59,39.43,93,40,10.36,scattered clouds
137,Namatanai,PG,-3.67,152.43,85.19,65,19,4.9,few clouds
138,Timberlake,US,37.32,-79.26,75.88,90,1,3.44,clear sky
139,Luderitz,NA,-26.65,15.16,58.64,69,0,4.9,clear sky
140,Tucuma,BR,-0.18,-50.05,75.81,87,18,6.22,few clouds
141,Kununurra,AU,-15.77,128.73,80.58,54,69,4.61,broken clouds
142,Quelimane,MZ,-17.88,36.89,60.75,94,20,9.22,light rain
143,Khatanga,RU,71.97,102.50,70,54,100,19.17,overcast clouds
144,Qaanaaq,GL,77.48,-69.36,42.35,83,100,7.7,overcast clouds
145,Borovoy,RU,55.43,86.08,60.08,88,90,11.18,overcast clouds
146,Arraial Do Cabo,BR,-22.97,-42.03,70.05,84,0,25.95,clear sky
147,Severo-Yeniseyskiy,RU,60.37,93.04,76.3,43,6,10.36,clear sky
148,Cordoba,AR,-31.41,-64.18,49.24,42,0,3,clear sky
149,Yellowknife,CA,62.46,-114.35,63.12,63,75,5.99,broken clouds
150,Henties Bay,NA,-22.12,14.28,65.86,44,0,5.41,clear sky
151,Kodiak,US,57.79,-152.41,62.11,59,90,5.75,overcast clouds
152,Port Hardy,CA,50.70,-127.42,62.78,72,75,9.22,broken clouds
153,Dunedin,NZ,-45.87,170.50,56.8,41,4,5.01,clear sky
154,Aksarka,RU,66.56,67.80,50.83,87,83,5.66,broken clouds
155,Faanui,PF,-16.48,-151.75,78.73,75,49,9.01,light rain
156,Camabatela,AO,-8.19,15.38,58.75,40,100,2.84,overcast clouds
157,Mnogovershinnyy,RU,53.94,139.92,73.22,55,100,4.38,overcast clouds
158,Igrim,RU,63.19,64.42,54.99,64,74,5.61,broken clouds
